cod_istat,cod_catastale
001001,A074
001002,A109
001003,A117
001004,A157
001006,A218
001007,A221
001008,A222
001009,A275
001010,A282
001011,A295
001012,A405
001013,A518
001014,A525
001015,A584
001016,A587
001017,A590
001018,A591
001019,A599
001020,A607
001021,A625
001022,A651
001023,A673
001024,A734
001025,A853
001026,A910
001027,A941
001028,A990
001029,B003
001030,B015
001031,B021
001032,B024
001033,B075
001034,B121
001035,B171
001036,B205
001037,B209
001038,B216
001039,B225
001040,B232
001041,B278
001042,B279
001043,B284
001044,B297
001045,B305
001046,B350
001047,B435
001048,B462
001049,B512
001050,B588
001051,B592
001052,B605
001053,B628
001054,B637
001055,B705
001056,B733
001057,B762
001058,B777
001059,B791
001060,B867
001061,B953
001062,B955
001063,B960
001064,C045
001065,C048
001066,C133
001067,C241
001068,C307
001069,C369
001070,C404
001071,C487
001072,C497
001073,C505
001074,C564
001075,C604
001076,C610
001077,C624
001078,C627
001079,C629
001080,C639
001081,C655
001082,C665
001083,C679
001084,C711
001085,C715
001086,C722
001087,C793
001088,C801
001089,C803
001090,C860
001091,C867
001092,C868
001093,C955
001094,D008
001095,D092
001096,D197
001097,D202
001098,D208
001099,D373
001100,D433
001101,D520
001102,D524
001103,D532
001104,D562
001105,D608
001106,D646
001107,D725
001108,D781
001109,D805
001110,D812
001111,D931
001112,D933
001113,D983
001114,E009
001115,E020
001116,E067
001117,E154
001118,E199
001119,E203
001120,E216
001121,E301
001122,E311
001123,E345
001124,E368
001125,E379
001126,E394
001127,E423
001128,E445
001129,E484
001130,E518
001131,E520
001132,E551
001133,E566
001134,E635
001135,E660
001136,E661
001137,E683
001139,E758
001140,E759
001141,E763
001142,E782
001143,E817
001144,E941
001145,F041
001146,F053
001147,F058
001148,F067
001149,F074
001150,F140
001152,F182
001153,F315
001154,F318
001155,F327
001156,F335
001157,D553
001158,F407
001159,F411
001160,F420
001161,F422
001162,F651
001163,F733
001164,F889
001165,F906
001166,F925
001167,F927
001168,F931
001169,F948
001170,G010
001171,G087
001172,G109
001173,G151
001174,G152
001175,G196
001176,G202
001177,G262
001178,G303
001179,G330
001180,G387
001181,G392
001183,G398
001184,G463
001185,G462
001186,G465
001187,G477
001188,G505
001189,G559
001190,G672
001191,G674
001192,G678
001193,G684
001194,G691
001195,G705
001196,G719
001197,G777
001198,G805
001199,G826
001200,G900
001201,G973
001202,G978
001203,G979
001204,G982
001205,G986
001206,G988
001207,G997
001208,H100
001209,H120
001210,H127
001211,H207
001212,H270
001213,H333
001214,H335
001215,H337
001216,H338
001217,H340
001218,H344
001219,H355
001220,H367
001221,H386
001222,H498
001223,H511
001224,H539
001225,H547
001226,H554
001227,H555
001228,H583
001229,H627
001230,H631
001231,H691
001232,H684
001233,H702
001234,H734
001235,H753
001236,H775
001237,H789
001238,H804
001239,H820
001240,H847
001241,H855
001242,H862
001243,H873
001244,H890
001245,H900
001246,H936
001247,H997
001248,I024
001249,I030
001250,I090
001251,I126
001252,I137
001253,I152
001254,I154
001255,I258
001256,I296
001257,I327
001258,I465
001259,I466
001260,I490
001261,I511
001262,I539
001263,I692
001264,I701
001265,I703
001266,I702
001267,I886
001268,I969
001269,I970
001270,L013
001271,L066
001272,L219
001273,L238
001274,L247
001275,L277
001276,L327
001278,L345
001279,L340
001280,L445
001281,L515
001282,L516
001283,L538
001284,L555
001285,L578
001286,L629
001287,L644
001288,B510
001289,L685
001290,L698
001291,L726
001292,L727
001293,L779
001294,L787
001295,L811
001296,L830
001298,L857
001299,L898
001300,L948
001301,L982
001302,M002
001303,L999
001304,M004
001305,M007
001306,M013
001307,M014
001308,M027
001309,M060
001310,M069
001311,M071
001312,M080
001313,M094
001314,M122
001315,M133
001316,M316
001317,M405
001318,M415
002002,A119
002003,A130
002004,A198
002006,A358
002007,A466
002008,A600
002009,A601
002011,A847
002014,A914
002015,B009
002016,B041
002017,B046
002021,B280
002025,B505
002029,B752
002030,B767
002031,B768
002032,B782
002033,B928
002035,B952
002041,C548
002042,C680
002043,C757
002045,C884
002047,D113
002048,D132
002049,D154
002052,D187
002054,D281
002057,D641
002058,D676
002059,D712
002061,D938
002062,E007
002065,E163
002066,E237
002067,E433
002068,E528
002070,E583
002071,E626
002072,E711
002078,F297
002079,F342
002082,F774
002088,G016
002089,G018
002090,G266
002091,G471
002093,G528
002096,G666
002097,G685
002102,G940
002104,G985
002107,H108
002108,H132
002110,H188
002113,H293
002115,H346
002116,H365
002118,H549
002121,H577
002122,H364
002126,H690
002127,H707
002128,H725
002131,H861
002133,I337
002134,I544
002135,I545
002137,I663
002142,I984
002147,L420
002148,L429
002150,L451
002152,L566
002156,L669
002158,L750
002163,M003
002164,M028
002166,M106
002170,M389
002171,M398
003001,A088
003002,A264
003006,A414
003008,A429
003012,A653
003016,A752
003018,A844
003019,A911
003021,A929
003022,A953
003023,B016
003024,B019
003025,B043
003026,B176
003027,B183
003030,B431
003032,B473
003036,B823
003037,B864
003039,B883
003040,B897
003041,B920
003042,C149
003043,C166
003044,C364
003045,C365
003047,C378
003049,C483
003051,C829
003052,C926
003055,D162
003058,D216
003060,D309
003062,D347
003065,D492
003066,D675
003068,D872
003069,D911
003070,D921
003073,E001
003076,E120
003077,E143
003079,E177
003082,E314
003083,E436
003084,E544
003088,E803
003090,E880
003091,E907
003093,F047
003095,F093
003097,F188
003098,F191
003100,F317
003103,F859
003104,F886
003106,F952
003108,G019
003109,G020
003112,G134
003114,G349
003115,G421
003116,G520
003119,G703
003120,G775
003121,G809
003122,H001
003129,H213
003130,H502
003131,H518
003133,I025
003134,I052
003135,I116
003138,I736
003139,I767
003140,I857
003141,I880
003143,L007
003144,L104
003146,L223
003149,L356
003153,L668
003154,L670
003158,L808
003159,L847
003164,M062
003166,M416
004001,A016
004002,A113
004003,A124
004004,A139
004005,A238
004006,A394
004007,A396
004008,A555
004009,A571
004010,A589
004011,A629
004012,A660
004013,A671
004014,A709
004015,A716
004016,A735
004017,A750
004018,A774
004019,A779
004020,A782
004021,A798
004022,A805
004023,A979
004024,B018
004025,B033
004026,B079
004027,B084
004028,B101
004029,B111
004030,B167
004031,B175
004032,B200
004033,B204
004034,B285
004035,B467
004037,B573
004038,B621
004039,B692
004040,B719
004041,B720
004042,B755
004043,B841
004044,B845
004045,B894
004046,C046
004047,C081
004049,C165
004050,C167
004051,C173
004052,C176
004053,C205
004054,C214
004055,C314
004056,C317
004057,C323
004058,C375
004059,C376
004060,C441
004061,C466
004062,C504
004063,C530
004064,C547
004065,C550
004066,C589
004067,C599
004068,C653
004069,C681
004070,C738
004071,C792
004072,D022
004073,D062
004074,D093
004075,D120
004076,D133
004077,D172
004078,D205
004079,D271
004080,D291
004081,D314
004082,D372
004083,D401
004084,D410
004085,D412
004086,D499
004087,D511
004088,D523
004089,D742
004090,D751
004091,D752
004092,D782
004093,D856
004094,D894
004095,D920
004096,D967
004097,E111
004098,E115
004099,E118
004100,E182
004101,E251
004102,E282
004103,E327
004104,E406
004105,E430
004106,E540
004107,E539
004108,E546
004109,E564
004110,E597
004111,E615
004112,E789
004113,E809
004114,E808
004115,E887
004116,E894
004117,E939
004118,E945
004119,E963
004120,E973
004121,E988
004122,F114
004123,F279
004124,F309
004125,F312
004126,F326
004127,F329
004128,F330
004129,F338
004130,F351
004131,F355
004132,F358
004133,F385
004134,F405
004135,F408
004136,F424
004137,F550
004138,F558
004139,F608
004140,F654
004141,F666
004142,F669
004143,F723
004144,F743
004145,F809
004146,F811
004147,F846
004148,F863
004149,F883
004150,F894
004151,F895
004152,F961
004153,F972
004154,G066
004155,G114
004156,G183
004157,G228
004158,G240
004159,G302
004160,G339
004161,G457
004162,G458
004163,G526
004164,G532
004165,G561
004166,G575
